Ref,Val,Package,PosX,PosY,Rot,Side
"D1","B5819W-TP","SOD3716X135N",115.675002,23.125005,-90.000000,top
"D2","B5819W-TP","SOD3716X135N",85.250000,45.750000,180.000000,top
"J2","Conn_01x05_Male","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",116.850000,111.500000,-90.000000,top
"J3","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",107.000000,106.000000,-90.000000,top
"M1","Module-mega-mcu144-0.6","mega-mcu144",50.974999,67.574999,0.000000,top
"M2","Module-power_12and5V-0.2","power_12and5V",156.250000,25.250001,90.000000,top
"M3","Module-wbo-0.5","wbo",97.500000,61.300000,-90.000000,top
"M4","Module-ign8-0.2","ign8",52.529889,45.688145,0.000000,top
"Q1","AO3400A","SOT95P280X125-3N",112.425002,23.125005,90.000000,top
"Q2","AO3400A","SOT95P280X125-3N",85.500000,49.500000,90.000000,top
"Q3","AO3400A","SOT95P280X125-3N",104.925002,23.125005,90.000000,top
"Q4","VND14NV04-E","DPAK",35.950002,37.650005,-90.000000,top
"Q5","VND14NV04-E","DPAK",43.950002,37.500005,-90.000000,top
"Q6","VND14NV04-E","DPAK",51.925002,37.500005,-90.000000,top
"Q7","VND14NV04-E","DPAK",60.450002,37.500005,-90.000000,top
"Q8","VND14NV04-E","DPAK",68.900002,37.500005,-90.000000,top
"Q9","VND14NV04-E","DPAK",76.925002,37.500005,-90.000000,top
"U5","PSM712-LF-T7","SOT_12-LF-T7_PTD",108.630001,23.064805,0.000000,top
"Z1","~","Z31 15 + 36",74.751002,9.451505,0.000000,top
